x,y,Class_ID,B1,B2,B3,Class,Description
416.2224731,-0.137512207,1,170,171,165,Class_1,LS Block
105.1522827,-222.9926147,1,149,150,132,Class_1,LS Block
102.0501099,-152.1069946,2,93,103,78,Class_2,Grass
516.9750977,-193.9309082,2,98,100,86,Class_2,Grass
339.2346802,-160.1038208,3,40,76,32,Class_3,Vegitation
248.9655151,-514.0922241,3,43,69,42,Class_3,Vegitation
491.1356812,-221.0888062,2,104,102,87,Class_2,Grass
267.0548706,-449.2423096,2,110,108,93,Class_2,Grass
664.9155273,-354.0648804,1,189,186,171,Class_1,LS Block
498.0632935,-341.8787231,2,104,107,90,Class_2,Grass
493.2149048,-341.3162842,2,93,100,84,Class_2,Grass
195.9008789,-437.9906006,3,61,79,57,Class_3,Vegitation
479.015686,-217.0487061,2,96,92,80,Class_2,Grass
254.0424805,-528.9328003,3,72,94,71,Class_3,Vegitation
423.8969116,-7.218017578,1,190,191,185,Class_1,LS Block
514.7741089,-191.2536011,2,110,113,96,Class_2,Grass
477.072876,-195.9838867,2,103,99,87,Class_2,Grass
167.0220947,-43.10839844,3,45,81,43,Class_3,Vegitation
251.9151001,-516.034729,3,68,95,64,Class_3,Vegitation
488.9232788,-220.8483276,2,104,102,87,Class_2,Grass
201.9589233,-338.0056763,3,75,107,70,Class_3,Vegitation
112.1022949,-152.9246216,2,111,110,92,Class_2,Grass
112.1984863,-149.0769043,2,97,96,78,Class_2,Grass
231.93927,-481.7808838,3,63,82,52,Class_3,Vegitation
94.98010254,-150.1831055,2,108,109,93,Class_2,Grass
340.2178955,-152.022583,3,134,151,117,Class_3,Vegitation
496.1859131,-223.8782959,2,106,107,91,Class_2,Grass
462.878479,-344.5626831,2,82,86,72,Class_2,Grass
220.6080933,-488.4718018,3,13,21,8,Class_3,Vegitation
262.0415039,-278.7930908,1,184,192,179,Class_1,LS Block
499.8720703,-203.1885986,2,112,110,97,Class_2,Grass
257.8023071,-453.0568848,2,107,110,89,Class_2,Grass
81.2244873,-147.0087891,2,117,111,97,Class_2,Grass
474.9265137,-339.9816284,2,100,102,89,Class_2,Grass
650.1109009,-148.9714966,1,181,185,162,Class_1,LS Block
191.9553223,-341.1392822,1,144,150,140,Class_1,LS Block
203.3043213,-319.0610962,1,187,190,179,Class_1,LS Block
522.9824829,-192.5361938,2,100,102,88,Class_2,Grass
223.9379272,-308.0974121,1,142,145,138,Class_1,LS Block
516.6865234,-210.1273193,2,108,105,90,Class_2,Grass
463.0870972,-193.1132813,2,111,114,97,Class_2,Grass
345.0203247,-155.8536987,3,93,120,79,Class_3,Vegitation
660.9622803,-182.3284912,1,143,143,131,Class_1,LS Block
202.2824707,-331.1530151,3,58,82,50,Class_3,Vegitation
493.0407104,-198.9658813,2,105,101,90,Class_2,Grass
376.1846924,-77.16558838,3,90,111,78,Class_3,Vegitation
494.0864868,-10.17230225,1,106,108,94,Class_1,LS Block
404.6135254,-27.53851318,1,216,227,211,Class_1,LS Block
466.7020874,-345.2841797,2,92,96,82,Class_2,Grass
262.1243286,-439.1173096,2,111,109,94,Class_2,Grass
383.059082,-79.19317627,3,54,85,43,Class_3,Vegitation
205.9030762,-295.9116821,1,188,191,174,Class_1,LS Block
502.0126953,-211.0830078,2,104,106,92,Class_2,Grass
294.8864746,-242.9887085,1,162,170,155,Class_1,LS Block
460.7841187,-211.098877,2,109,105,93,Class_2,Grass
466.1708984,-221.8723755,2,111,105,93,Class_2,Grass
336.9995117,-193.0308838,1,182,180,168,Class_1,LS Block
91.9019165,-149.2692871,2,114,115,99,Class_2,Grass
361.9138794,-159.9942017,1,156,158,153,Class_1,LS Block
363.9777222,-155.2593994,1,209,212,203,Class_1,LS Block
362.8602905,-80.92919922,3,29,50,31,Class_3,Vegitation
511.3737183,-213.0770874,2,93,94,80,Class_2,Grass
265.0632935,-273.1813965,1,173,183,174,Class_1,LS Block
514.8828735,-201.2175903,2,105,107,93,Class_2,Grass
656.8707275,-253.0709839,1,199,197,185,Class_1,LS Block
663.9932861,-244.0059814,1,153,151,139,Class_1,LS Block
201.7393188,-357.6898193,1,195,194,189,Class_1,LS Block
342.9174805,-169.9782104,3,77,109,72,Class_3,Vegitation
105.1763306,-141.0449829,2,107,110,91,Class_2,Grass
358.0454712,-153.055481,1,157,158,150,Class_1,LS Block
315.0684814,-222.0852051,1,167,164,155,Class_1,LS Block
662.9489136,-376.8944092,1,190,188,173,Class_1,LS Block
250.0546875,-350.0792847,2,131,129,116,Class_2,Grass
475.0147095,-225.305481,2,110,96,85,Class_2,Grass
510.121521,-209.9108887,2,101,103,89,Class_2,Grass
500.9954834,-220.8964233,2,89,91,77,Class_2,Grass
183.1176758,-451.0482178,3,78,98,70,Class_3,Vegitation
379.9556885,-266.9141846,1,206,209,192,Class_1,LS Block
382.0878906,-79.07177734,3,51,84,41,Class_3,Vegitation
323.1187134,-18.1685791,1,156,157,139,Class_1,LS Block
223.0477295,-299.8012085,1,194,211,192,Class_1,LS Block
187.9348755,-305.5703125,1,131,138,122,Class_1,LS Block
281.8804932,-262.0859985,1,141,151,140,Class_1,LS Block
183.7893066,-447.6907959,3,65,85,58,Class_3,Vegitation
223.8635254,-347.2368774,1,180,180,168,Class_1,LS Block
289.0557251,-532.9478149,3,53,84,52,Class_3,Vegitation
216.0350952,-512.2421875,3,57,84,51,Class_3,Vegitation
266.3242798,-437.9608154,2,110,108,93,Class_2,Grass
521.137085,-218.0310059,2,98,101,84,Class_2,Grass
108.1102905,-156.098999,2,118,126,103,Class_2,Grass
458.8602905,-205.90448,2,110,107,92,Class_2,Grass
421.0742798,-5.973510742,1,158,161,154,Class_1,LS Block
482.2670898,-201.130188,2,106,102,91,Class_2,Grass
113.1123047,-145.0369263,2,98,97,79,Class_2,Grass
471.6160889,-224.9849243,2,108,95,86,Class_2,Grass
191.909729,-337.9750977,1,148,154,140,Class_1,LS Block
251.7692871,-296.7647095,1,126,126,116,Class_1,LS Block
361.9699097,-94.17419434,3,60,77,59,Class_3,Vegitation
240.7229004,-522.0841064,3,46,73,40,Class_3,Vegitation
198.9456787,-416.0714111,3,49,74,53,Class_3,Vegitation
242.9940796,-533.2294922,3,66,97,63,Class_3,Vegitation
88.05432129,-156.1951904,2,114,117,100,Class_2,Grass
493.906311,-194.973877,2,102,98,87,Class_2,Grass
643.965271,-191.1776123,1,111,115,98,Class_1,LS Block
221.7930908,-305.9525757,1,199,213,198,Class_1,LS Block
237.9049072,-280.0192261,1,95,104,83,Class_1,LS Block
